market,commodity,year,month,cpi
Kumasi,Cassava,2016,6,137.9933
Kumasi,Cassava,2016,7,136.92
Kumasi,Cassava,2016,8,135.0664
Kumasi,Cassava,2016,9,131.7905
Kumasi,Cassava,2016,10,131.4893
Kumasi,Cassava,2016,11,133.5423
Kumasi,Cassava,2016,12,135.1228
Kumasi,Cassava,2017,1,139.5017
Kumasi,Cassava,2017,2,140.5844
Kumasi,Cassava,2017,3,141.8227
Kumasi,Cassava,2017,4,143.2019
Kumasi,Cassava,2017,5,144.5164
Kumasi,Cassava,2017,6,146.5159
Kumasi,Cassava,2017,7,146.8
Kumasi,Cassava,2017,8,145
Kumasi,Cassava,2017,9,142.4703
Kumasi,Cassava,2017,10,142.2714
Kumasi,Cassava,2017,11,
Kumasi,Cassava,2017,12,
Kumasi,Rice (local),2008,1,214.5
Kumasi,Rice (local),2008,2,220.7
Kumasi,Rice (local),2008,3,225.7
Kumasi,Rice (local),2008,4,231.3
Kumasi,Rice (local),2008,5,243.5
Kumasi,Rice (local),2008,6,249.1
Kumasi,Rice (local),2008,7,251
Kumasi,Rice (local),2008,8,248.6
Kumasi,Rice (local),2008,9,243.8
Kumasi,Rice (local),2008,10,236.9
Kumasi,Rice (local),2008,11,241.1
Kumasi,Rice (local),2008,12,246.7
Kumasi,Rice (local),2009,1,256.2
Kumasi,Rice (local),2009,2,262.5
Kumasi,Rice (local),2009,3,267.5
Kumasi,Rice (local),2009,4,276
Kumasi,Rice (local),2009,5,285.3
Kumasi,Rice (local),2009,6,287.8
Kumasi,Rice (local),2009,7,289.1
Kumasi,Rice (local),2009,8,285.3
Kumasi,Rice (local),2009,9,275
Kumasi,Rice (local),2009,10,269
Kumasi,Rice (local),2009,11,271
Kumasi,Rice (local),2009,12,275.9
Kumasi,Rice (local),2010,1,279.5
Kumasi,Rice (local),2010,2,284
Kumasi,Rice (local),2010,3,287.1
Kumasi,Rice (local),2010,4,292.1
Kumasi,Rice (local),2010,5,298.6
Kumasi,Rice (local),2010,6,305.4
Kumasi,Rice (local),2010,7,306
Kumasi,Rice (local),2010,8,300.5
Kumasi,Rice (local),2010,9,290.6
Kumasi,Rice (local),2010,10,284.1
Kumasi,Rice (local),2010,11,285.4
Kumasi,Rice (local),2010,12,288.3
Kumasi,Rice (local),2011,1,293
Kumasi,Rice (local),2011,2,297
Kumasi,Rice (local),2011,3,300.6
Kumasi,Rice (local),2011,4,304.3
Kumasi,Rice (local),2011,5,310.4
Kumasi,Rice (local),2011,6,313.9
Kumasi,Rice (local),2011,7,316
Kumasi,Rice (local),2011,8,311.9
Kumasi,Rice (local),2011,9,301.4
Kumasi,Rice (local),2011,10,295.6
Kumasi,Rice (local),2011,11,298
Kumasi,Rice (local),2011,12,300.6
Kumasi,Rice (local),2012,1,97.4958
Kumasi,Rice (local),2012,2,98.641
Kumasi,Rice (local),2012,3,98.641
Kumasi,Rice (local),2012,4,101.4071
Kumasi,Rice (local),2012,5,101.4071
Kumasi,Rice (local),2012,6,102.1679
Kumasi,Rice (local),2012,7,103.9148
Kumasi,Rice (local),2012,8,101.9171
Kumasi,Rice (local),2012,9,97.3699
Kumasi,Rice (local),2012,10,98.5842
Kumasi,Rice (local),2012,11,98.9502
Kumasi,Rice (local),2012,12,99.6234
Kumasi,Rice (local),2013,1,105.273
Kumasi,Rice (local),2013,2,105.273
Kumasi,Rice (local),2013,3,105.273
Kumasi,Rice (local),2013,4,108.0738
Kumasi,Rice (local),2013,5,108.0738
Kumasi,Rice (local),2013,6,109.6575
Kumasi,Rice (local),2013,7,111.53
Kumasi,Rice (local),2013,8,110.0008
Kumasi,Rice (local),2013,9,106.0242
Kumasi,Rice (local),2013,10,105.3739
Kumasi,Rice (local),2013,11,106.1582
Kumasi,Rice (local),2013,12,106.8374
Kumasi,Rice (local),2014,1,112.7433
Kumasi,Rice (local),2014,2,113.1858
Kumasi,Rice (local),2014,3,113.92
Kumasi,Rice (local),2014,4,115.6005
Kumasi,Rice (local),2014,5,116.7307
Kumasi,Rice (local),2014,6,118.3548
Kumasi,Rice (local),2014,7,117.1318
Kumasi,Rice (local),2014,8,115.7
Kumasi,Rice (local),2014,9,112.1683
Kumasi,Rice (local),2014,10,112.243
Kumasi,Rice (local),2014,11,113.2103
Kumasi,Rice (local),2014,12,114.0564
Kumasi,Rice (local),2015,1,120.5275
Kumasi,Rice (local),2015,2,121.1263
Kumasi,Rice (local),2015,3,122.0781
Kumasi,Rice (local),2015,4,123.8958
Kumasi,Rice (local),2015,5,125.2882
Kumasi,Rice (local),2015,6,127.111
Kumasi,Rice (local),2015,7,126.0348
Kumasi,Rice (local),2015,8,124.5137
Kumasi,Rice (local),2015,9,120.9395
Kumasi,Rice (local),2015,10,121.0138
Kumasi,Rice (local),2015,11,122.1764
Kumasi,Rice (local),2015,12,123.1852
Kumasi,Rice (local),2016,1,130.3701
Kumasi,Rice (local),2016,2,131.1867
Kumasi,Rice (local),2016,3,132.2356
Kumasi,Rice (local),2016,4,134.2526
Kumasi,Rice (local),2016,5,135.9292
Kumasi,Rice (local),2016,6,137.9933
Kumasi,Rice (local),2016,7,136.92
Kumasi,Rice (local),2016,8,135.0664
Kumasi,Rice (local),2016,9,131.7905
Kumasi,Rice (local),2016,10,131.4893
Kumasi,Rice (local),2016,11,133.5423
Kumasi,Rice (local),2016,12,135.1228
Kumasi,Rice (local),2017,1,139.5017
Kumasi,Rice (local),2017,2,140.5844
Kumasi,Rice (local),2017,3,141.8227
Kumasi,Rice (local),2017,4,143.2019
Kumasi,Rice (local),2017,5,144.5164
Kumasi,Rice (local),2017,6,146.5159
Kumasi,Rice (local),2017,7,146.8
Kumasi,Rice (local),2017,8,145
Kumasi,Rice (local),2017,9,142.4703
Kumasi,Rice (local),2017,10,142.2714
Kumasi,Rice (local),2017,11,
Kumasi,Rice (local),2017,12,
Kumasi,Plantains (apentu),2008,1,214.5
Kumasi,Plantains (apentu),2008,2,220.7
Kumasi,Plantains (apentu),2008,3,225.7
Kumasi,Plantains (apentu),2008,4,231.3
Kumasi,Plantains (apentu),2008,5,243.5
Kumasi,Plantains (apentu),2008,6,249.1
Kumasi,Plantains (apentu),2008,7,251
Kumasi,Plantains (apentu),2008,8,248.6
Kumasi,Plantains (apentu),2008,9,243.8
Kumasi,Plantains (apentu),2008,10,236.9
Kumasi,Plantains (apentu),2008,11,241.1
Kumasi,Plantains (apentu),2008,12,246.7
Kumasi,Plantains (apentu),2009,1,256.2
Kumasi,Plantains (apentu),2009,2,262.5
Kumasi,Plantains (apentu),2009,3,267.5
Kumasi,Plantains (apentu),2009,4,276
Kumasi,Plantains (apentu),2009,5,285.3
Kumasi,Plantains (apentu),2009,6,287.8
Kumasi,Plantains (apentu),2009,7,289.1
Kumasi,Plantains (apentu),2009,8,285.3
Kumasi,Plantains (apentu),2009,9,275
Kumasi,Plantains (apentu),2009,10,269
Kumasi,Plantains (apentu),2009,11,271
Kumasi,Plantains (apentu),2009,12,275.9
Kumasi,Plantains (apentu),2010,1,279.5
Kumasi,Plantains (apentu),2010,2,284
Kumasi,Plantains (apentu),2010,3,287.1
Kumasi,Plantains (apentu),2010,4,292.1
Kumasi,Plantains (apentu),2010,5,298.6
Kumasi,Plantains (apentu),2010,6,305.4
Kumasi,Plantains (apentu),2010,7,306
Kumasi,Plantains (apentu),2010,8,300.5
Kumasi,Plantains (apentu),2010,9,290.6
Kumasi,Plantains (apentu),2010,10,284.1
Kumasi,Plantains (apentu),2010,11,285.4
Kumasi,Plantains (apentu),2010,12,288.3
Kumasi,Plantains (apentu),2011,1,293
Kumasi,Plantains (apentu),2011,2,297
Kumasi,Plantains (apentu),2011,3,300.6
Kumasi,Plantains (apentu),2011,4,304.3
Kumasi,Plantains (apentu),2011,5,310.4
Kumasi,Plantains (apentu),2011,6,313.9
Kumasi,Plantains (apentu),2011,7,316
Kumasi,Plantains (apentu),2011,8,311.9
Kumasi,Plantains (apentu),2011,9,301.4
Kumasi,Plantains (apentu),2011,10,295.6
Kumasi,Plantains (apentu),2011,11,298
Kumasi,Plantains (apentu),2011,12,300.6
Kumasi,Plantains (apentu),2012,1,97.4958
Kumasi,Plantains (apentu),2012,2,98.641
Kumasi,Plantains (apentu),2012,3,98.641
Kumasi,Plantains (apentu),2012,4,101.4071
Kumasi,Plantains (apentu),2012,5,101.4071
Kumasi,Plantains (apentu),2012,6,102.1679
Kumasi,Plantains (apentu),2012,7,103.9148
Kumasi,Plantains (apentu),2012,8,101.9171
Kumasi,Plantains (apentu),2012,9,97.3699
Kumasi,Plantains (apentu),2012,10,98.5842
Kumasi,Plantains (apentu),2012,11,98.9502
Kumasi,Plantains (apentu),2012,12,99.6234
Kumasi,Plantains (apentu),2013,1,105.273
Kumasi,Plantains (apentu),2013,2,105.273
Kumasi,Plantains (apentu),2013,3,105.273
Kumasi,Plantains (apentu),2013,4,108.0738
Kumasi,Plantains (apentu),2013,5,108.0738
Kumasi,Plantains (apentu),2013,6,109.6575
Kumasi,Plantains (apentu),2013,7,111.53
Kumasi,Plantains (apentu),2013,8,110.0008
Kumasi,Plantains (apentu),2013,9,106.0242
Kumasi,Plantains (apentu),2013,10,105.3739
Kumasi,Plantains (apentu),2013,11,106.1582
Kumasi,Plantains (apentu),2013,12,106.8374
Kumasi,Plantains (apentu),2014,1,112.7433
Kumasi,Plantains (apentu),2014,2,113.1858
Kumasi,Plantains (apentu),2014,3,113.92
Kumasi,Plantains (apentu),2014,4,115.6005
Kumasi,Plantains (apentu),2014,5,116.7307
Kumasi,Plantains (apentu),2014,6,118.3548
Kumasi,Plantains (apentu),2014,7,117.1318
Kumasi,Plantains (apentu),2014,8,115.7
Kumasi,Plantains (apentu),2014,9,112.1683
Kumasi,Plantains (apentu),2014,10,112.243
Kumasi,Plantains (apentu),2014,11,113.2103
Kumasi,Plantains (apentu),2014,12,114.0564
Kumasi,Plantains (apentu),2015,1,120.5275
Kumasi,Plantains (apentu),2015,2,121.1263
Kumasi,Plantains (apentu),2015,3,122.0781
Kumasi,Plantains (apentu),2015,4,123.8958
Kumasi,Plantains (apentu),2015,5,125.2882
Kumasi,Plantains (apentu),2015,6,127.111
Kumasi,Plantains (apentu),2015,7,126.0348
Kumasi,Plantains (apentu),2015,8,124.5137
Kumasi,Plantains (apentu),2015,9,120.9395
